   1   1  7.0334E-01  7.0572E-01  1.0000E-25
   1   2  4.0558E-18  4.8015E-05  1.0000E-25
   2   3  7.7255E-05  2.9298E-05  1.0000E-25
   2   4  2.7658E-01  2.7521E-01  1.0000E-25
   3   6  1.4902E-26  6.4972E-10  1.0000E-25
   3   7  6.0198E-16  9.3556E-09  1.0000E-25
   4   9  1.0000E-30  1.6622E-10  1.0000E-25
   5  10  1.0000E-30  1.0673E-09  1.0000E-25
   5  11  1.0000E-30  4.7245E-09  1.0000E-25
   6  12  3.4088E-03  3.0317E-03  1.0000E-25
   6  13  4.1105E-05  3.6504E-05  1.0000E-25
   7  14  1.0538E-03  1.1055E-03  1.0000E-25
   7  15  4.1269E-06  4.3632E-06  1.0000E-25
   8  16  9.5788E-03  9.5925E-03  1.0000E-25
   8  17  3.8819E-06  3.8874E-06  1.0000E-25
   8  18  2.1643E-05  2.1670E-05  1.0000E-25
   9  19  4.6450E-07  4.0515E-07  1.0000E-25
  10  20  1.8098E-03  1.6196E-03  1.0000E-25
  10  21  4.6142E-06  4.1277E-06  1.0000E-25
  10  22  1.4557E-04  1.3021E-04  1.0000E-25
  11  23  3.8015E-05  3.3398E-05  1.0000E-25
  12  24  5.8376E-04  5.1475E-04  1.0000E-25
  12  25  7.6728E-05  6.7659E-05  1.0000E-25
  12  26  8.8000E-05  7.7606E-05  1.0000E-25
  13  26  1.2037E-13  2.0168E-24  1.0000E-25
  13  27  6.6007E-05  5.7993E-05  1.0000E-25
  14  28  7.4173E-04  6.5310E-04  1.0000E-25
  14  29  3.8911E-05  3.4260E-05  1.0000E-25
  14  30  2.6720E-05  2.3527E-05  1.0000E-25
  15  31  9.3237E-06  8.1565E-06  1.0000E-25
  16  32  4.5831E-04  3.9591E-04  1.0000E-25
  16  33  3.7309E-06  3.2227E-06  1.0000E-25
  16  34  2.1609E-05  1.8701E-05  1.0000E-25
  16  36  1.0856E-07  9.3799E-08  1.0000E-25
  17  35  3.9992E-06  2.5322E-06  1.0000E-25
  17  37  1.3497E-06  8.5441E-07  1.0000E-25
  18  36  8.8585E-05  7.7407E-05  1.0000E-25
  18  38  1.7602E-05  1.5381E-05  1.0000E-25
  18  40  3.0111E-08  2.6311E-08  1.0000E-25
  19  39  3.9709E-06  3.4699E-06  1.0000E-25
  19  40  6.3452E-09  5.5446E-09  1.0000E-25
  19  41  3.0146E-07  2.6343E-07  1.0000E-25
  20  40  6.8566E-05  5.9914E-05  1.0000E-25
  20  42  4.8021E-07  4.1962E-07  1.0000E-25
