# rad[Rsun] Temperature[K] rho[cgs] Pressure[cgs] xmr[0-1] Hp[cm] gmr[cm/s2] gsurf[cm/s2] grav[cm/s2] phi delta abadd abla abmu Nt2[rad2/sec2] Nmu2[rad2/sec2] N2[rad2/sec2] N[rad/sec] Kt[cgs] cp gamma1 kap[cgs] eint[erg/g/s]
0.000000000e+00 6.143700000e+06 9.031400000e+00 7.489100000e+15 0.000000000e+00 2.001810000e+12 3.287810000e+02 1.953430000e+04 1.683100000e-02 9.996370000e-01 1.002730000e+00 3.974810000e-01 2.175570000e-01 3.027430000e-07 2.963180000e-11 4.970510000e-17 2.963180000e-11 5.443510000e-06 6.718900000e+05 3.405000000e+08 1.666400000e+00 3.758300000e+00 1.249700000e+15
2.357823000e-03 6.143700000e+06 9.031200000e+00 7.488900000e+15 8.404820000e-08 2.001810000e+12 4.142390000e+02 1.953430000e+04 2.120570000e-02 9.996370000e-01 1.002730000e+00 3.974810000e-01 2.175570000e-01 3.027430000e-07 3.733370000e-11 6.262450000e-17 3.733380000e-11 6.110140000e-06 6.719000000e+05 3.405000000e+08 1.666400000e+00 3.758400000e+00 1.249700000e+15
2.970682000e-03 6.143700000e+06 9.031100000e+00 7.488800000e+15 1.680963000e-07 1.588840000e+12 5.219040000e+02 1.953430000e+04 2.671730000e-02 9.996370000e-01 1.002730000e+00 3.974810000e-01 2.175570000e-01 3.447660000e-07 5.926300000e-11 1.132080000e-16 5.926320000e-11 7.698260000e-06 6.719100000e+05 3.405000000e+08 1.666400000e+00 3.758400000e+00 1.249700000e+15
3.200075000e-03 6.143700000e+06 9.031000000e+00 7.488700000e+15 2.101204000e-07 1.474950000e+12 5.622030000e+02 1.953430000e+04 2.878030000e-02 9.996370000e-01 1.002730000e+00 3.974810000e-01 2.175570000e-01 2.661210000e-07 6.876840000e-11 1.014000000e-16 6.876850000e-11 8.292680000e-06 6.719100000e+05 3.405000000e+08 1.666400000e+00 3.758400000e+00 1.249700000e+15
3.400592000e-03 6.143600000e+06 9.030900000e+00 7.488600000e+15 2.521445000e-07 1.387980000e+12 5.974280000e+02 1.953430000e+04 3.058350000e-02 9.996370000e-01 1.002730000e+00 3.974810000e-01 2.175570000e-01 2.438820000e-07 7.765600000e-11 1.049360000e-16 7.765610000e-11 8.812270000e-06 6.719200000e+05 3.405000000e+08 1.666400000e+00 3.758400000e+00 1.249700000e+15
3.742846000e-03 6.143600000e+06 9.030800000e+00 7.488400000e+15 3.361926000e-07 1.261070000e+12 6.575510000e+02 1.953430000e+04 3.366130000e-02 9.996370000e-01 1.002730000e+00 3.974810000e-01 2.175570000e-01 2.332220000e-07 9.407280000e-11 1.215630000e-16 9.407290000e-11 9.699120000e-06 6.719300000e+05 3.405000000e+08 1.666400000e+00 3.758400000e+00 1.249700000e+15
4.031869000e-03 6.143600000e+06 9.030700000e+00 7.488300000e+15 4.202408000e-07 1.170670000e+12 7.083210000e+02 1.953430000e+04 3.626040000e-02 9.996370000e-01 1.002730000e+00 3.974810000e-01 2.175570000e-01 2.425780000e-07 1.091610000e-10 1.467190000e-16 1.091610000e-10 1.044800000e-05 6.719300000e+05 3.405000000e+08 1.666400000e+00 3.758500000e+00 1.249600000e+15
4.284511000e-03 6.143600000e+06 9.030500000e+00 7.488200000e+15 5.042889000e-07 1.101650000e+12 7.527000000e+02 1.953430000e+04 3.853220000e-02 9.996370000e-01 1.002730000e+00 3.974810000e-01 2.175570000e-01 2.511890000e-07 1.232690000e-10 1.715620000e-16 1.232690000e-10 1.110270000e-05 6.719400000e+05 3.405000000e+08 1.666400000e+00 3.758500000e+00 1.249600000e+15
4.715735000e-03 6.143500000e+06 9.030300000e+00 7.487900000e+15 6.723852000e-07 1.000920000e+12 8.284460000e+02 1.953430000e+04 4.240980000e-02 9.996370000e-01 1.002740000e+00 3.974810000e-01 2.175570000e-01 3.039110000e-07 1.493280000e-10 2.514520000e-16 1.493280000e-10 1.222000000e-05 6.719500000e+05 3.405000000e+08 1.666400000e+00 3.758500000e+00 1.249600000e+15
5.079893000e-03 6.143500000e+06 9.030100000e+00 7.487800000e+15 8.404815000e-07 9.291700000e+11 8.924090000e+02 1.953430000e+04 4.568420000e-02 9.996370000e-01 1.002740000e+00 3.974810000e-01 2.175570000e-01 3.184470000e-07 1.732780000e-10 3.057370000e-16 1.732780000e-10 1.316350000e-05 6.719600000e+05 3.405000000e+08 1.666400000e+00 3.758600000e+00 1.249600000e+15
5.398212000e-03 6.143400000e+06 9.029900000e+00 7.487500000e+15 1.008577800e-06 8.743850000e+11 9.483190000e+02 1.953430000e+04 4.854630000e-02 9.996370000e-01 1.002740000e+00 3.974810000e-01 2.175580000e-01 3.295810000e-07 1.956710000e-10 3.573190000e-16 1.956710000e-10 1.398820000e-05 6.719700000e+05 3.405000000e+08 1.666400000e+00 3.758600000e+00 1.249600000e+15
5.941544000e-03 6.143400000e+06 9.029500000e+00 7.487100000e+15 1.344770400e-06 7.944350000e+11 1.043750000e+03 1.953430000e+04 5.343140000e-02 9.996370000e-01 1.002740000e+00 3.974810000e-01 2.175580000e-01 3.995630000e-07 2.370340000e-10 5.247630000e-16 2.370340000e-10 1.539590000e-05 6.719900000e+05 3.405000000e+08 1.666400000e+00 3.758700000e+00 1.249600000e+15
6.459238000e-03 6.143300000e+06 9.029200000e+00 7.486800000e+15 1.727764200e-06 7.307710000e+11 1.134660000e+03 1.953430000e+04 5.808570000e-02 9.996360000e-01 1.002740000e+00 3.974810000e-01 2.175580000e-01 4.176300000e-07 2.801300000e-10 6.482150000e-16 2.801310000e-10 1.673710000e-05 6.720100000e+05 3.405000000e+08 1.666400000e+00 3.758700000e+00 1.249600000e+15
6.905084000e-03 6.143200000e+06 9.028800000e+00 7.486300000e+15 2.110758100e-06 6.835940000e+11 1.212960000e+03 1.953430000e+04 6.209370000e-02 9.996360000e-01 1.002740000e+00 3.974810000e-01 2.175580000e-01 4.179880000e-07 3.201260000e-10 7.414020000e-16 3.201270000e-10 1.789210000e-05 6.720300000e+05 3.405000000e+08 1.666400000e+00 3.758800000e+00 1.249600000e+15
7.655886000e-03 6.143100000e+06 9.028200000e+00 7.485700000e+15 2.876745700e-06 6.165680000e+11 1.344790000e+03 1.953430000e+04 6.884260000e-02 9.996360000e-01 1.002740000e+00 3.974810000e-01 2.175580000e-01 4.761260000e-07 3.935040000e-10 1.038100000e-15 3.935050000e-10 1.983700000e-05 6.720600000e+05 3.405000000e+08 1.666400000e+00 3.758900000e+00 1.249600000e+15
8.282773000e-03 6.143000000e+06 9.027700000e+00 7.485200000e+15 3.642733300e-06 5.699130000e+11 1.454860000e+03 1.953430000e+04 7.447710000e-02 9.996360000e-01 1.002740000e+00 3.974810000e-01 2.175580000e-01 4.707090000e-07 4.605610000e-10 1.201180000e-15 4.605620000e-10 2.146070000e-05 6.720900000e+05 3.405000000e+08 1.666400000e+00 3.759000000e+00 1.249500000e+15
8.826913000e-03 6.142900000e+06 9.027200000e+00 7.484700000e+15 4.408721000e-06 5.347890000e+11 1.550390000e+03 1.953430000e+04 7.936740000e-02 9.996360000e-01 1.002740000e+00 3.974810000e-01 2.175580000e-01 4.546830000e-07 5.230360000e-10 1.317680000e-15 5.230370000e-10 2.287000000e-05 6.721200000e+05 3.405000000e+08 1.666400000e+00 3.759100000e+00 1.249500000e+15
9.437684000e-03 6.142800000e+06 9.026600000e+00 7.484100000e+15 5.388471700e-06 5.001900000e+11 1.657600000e+03 1.953430000e+04 8.485580000e-02 9.996360000e-01 1.002740000e+00 3.974810000e-01 2.175580000e-01 4.786130000e-07 5.978870000e-10 1.585520000e-15 5.978890000e-10 2.445180000e-05 6.721500000e+05 3.405000000e+08 1.666400000e+00 3.759200000e+00 1.249500000e+15
9.978261000e-03 6.142700000e+06 9.025800000e+00 7.483200000e+15 6.368222300e-06 4.731010000e+11 1.752480000e+03 1.953430000e+04 8.971300000e-02 9.996360000e-01 1.002740000e+00 3.974810000e-01 2.175580000e-01 4.941270000e-07 6.683040000e-10 1.829700000e-15 6.683060000e-10 2.585160000e-05 6.721900000e+05 3.405000000e+08 1.666400000e+00 3.759300000e+00 1.249500000e+15
1.091190800e-02 6.142500000e+06 9.024900000e+00 7.482200000e+15 8.327723600e-06 4.326370000e+11 1.916330000e+03 1.953430000e+04 9.810060000e-02 9.996360000e-01 1.002740000e+00 3.974810000e-01 2.175580000e-01 5.355290000e-07 7.991370000e-10 2.371210000e-15 7.991390000e-10 2.826900000e-05 6.722400000e+05 3.405000000e+08 1.666400000e+00 3.759500000e+00 1.249400000e+15
1.170847600e-02 6.142300000e+06 9.024000000e+00 7.481200000e+15 1.028722500e-05 4.032170000e+11 2.056090000e+03 1.953430000e+04 1.052550000e-01 9.996360000e-01 1.002740000e+00 3.974810000e-01 2.175580000e-01 5.145630000e-07 9.199810000e-10 2.622920000e-15 9.199840000e-10 3.033120000e-05 6.722900000e+05 3.405000000e+08 1.666400000e+00 3.759700000e+00 1.249400000e+15
1.240936100e-02 6.142100000e+06 9.022600000e+00 7.479800000e+15 1.224672630e-05 3.804550000e+11 2.179050000e+03 1.953430000e+04 1.115500000e-01 9.996360000e-01 1.002740000e+00 3.974810000e-01 2.175580000e-01 4.826450000e-07 1.033330000e-09 2.763330000e-15 1.033330000e-09 3.214550000e-05 6.723600000e+05 3.405000000e+08 1.666400000e+00 3.759900000e+00 1.249300000e+15
1.373521500e-02 6.141700000e+06 9.020900000e+00 7.477900000e+15 1.660449950e-05 3.437520000e+11 2.411570000e+03 1.953430000e+04 1.234530000e-01 9.996350000e-01 1.002740000e+00 3.974810000e-01 2.175580000e-01 5.519100000e-07 1.265700000e-09 3.870480000e-15 1.265700000e-09 3.557670000e-05 6.724600000e+05 3.405000000e+08 1.666400000e+00 3.760300000e+00 1.249300000e+15
1.484529800e-02 6.141400000e+06 9.019300000e+00 7.476300000e+15 2.096227270e-05 3.180660000e+11 2.606190000e+03 1.953430000e+04 1.334160000e-01 9.996350000e-01 1.002750000e+00 3.974810000e-01 2.175590000e-01 5.355760000e-07 1.478310000e-09 4.386840000e-15 1.478310000e-09 3.844880000e-05 6.725400000e+05 3.405000000e+08 1.666400000e+00 3.760500000e+00 1.249200000e+15
1.581050600e-02 6.141000000e+06 9.017100000e+00 7.473900000e+15 2.532004590e-05 2.986640000e+11 2.775350000e+03 1.953430000e+04 1.420760000e-01 9.996350000e-01 1.002750000e+00 3.974810000e-01 2.175590000e-01 4.892550000e-07 1.676530000e-09 4.544760000e-15 1.676530000e-09 4.094550000e-05 6.726600000e+05 3.405000000e+08 1.666400000e+00 3.761000000e+00 1.249100000e+15
1.744343900e-02 6.140500000e+06 9.014400000e+00 7.471000000e+15 3.399707790e-05 2.707330000e+11 3.061420000e+03 1.953430000e+04 1.567200000e-01 9.996350000e-01 1.002750000e+00 3.974810000e-01 2.175590000e-01 5.277690000e-07 2.040140000e-09 5.965770000e-15 2.040140000e-09 4.516790000e-05 6.728100000e+05 3.405000000e+08 1.666400000e+00 3.761400000e+00 1.249000000e+15
1.881195400e-02 6.140000000e+06 9.011900000e+00 7.468400000e+15 4.263559560e-05 2.510610000e+11 3.301030000e+03 1.953430000e+04 1.689860000e-01 9.996340000e-01 1.002750000e+00 3.974810000e-01 2.175590000e-01 5.404520000e-07 2.372190000e-09 7.103440000e-15 2.372190000e-09 4.870520000e-05 6.729400000e+05 3.405000000e+08 1.666400000e+00 3.761900000e+00 1.248900000e+15
2.000625100e-02 6.139400000e+06 9.008500000e+00 7.464800000e+15 5.127411330e-05 2.360930000e+11 3.510040000e+03 1.953430000e+04 1.796860000e-01 9.996340000e-01 1.002760000e+00 3.974810000e-01 2.175600000e-01 5.173970000e-07 2.682300000e-09 7.689410000e-15 2.682300000e-09 5.179100000e-05 6.731200000e+05 3.405000000e+08 1.666400000e+00 3.762500000e+00 1.248800000e+15
2.199609400e-02 6.138400000e+06 9.003100000e+00 7.459000000e+15 6.812581630e-05 2.147690000e+11 3.858030000e+03 1.953430000e+04 1.975000000e-01 9.996330000e-01 1.002760000e+00 3.974810000e-01 2.175600000e-01 5.275260000e-07 3.240970000e-09 9.472800000e-15 3.240980000e-09 5.692960000e-05 6.734100000e+05 3.405000000e+08 1.666400000e+00 3.763500000e+00 1.248600000e+15
2.461088300e-02 6.137100000e+06 8.996600000e+00 7.452200000e+15 9.538330150e-05 1.919940000e+11 4.314820000e+03 1.953430000e+04 2.208840000e-01 9.996320000e-01 1.002770000e+00 3.974820000e-01 2.175610000e-01 5.333520000e-07 4.054690000e-09 1.198200000e-14 4.054700000e-09 6.367650000e-05 6.737600000e+05 3.405000000e+08 1.666400000e+00 3.764700000e+00 1.248300000e+15
2.704598400e-02 6.136100000e+06 8.990900000e+00 7.446200000e+15 1.265347132e-04 1.747480000e+11 4.739680000e+03 1.953430000e+04 2.426340000e-01 9.996310000e-01 1.002770000e+00 3.974820000e-01 2.175610000e-01 5.251840000e-07 4.893490000e-09 1.423920000e-14 4.893510000e-09 6.995360000e-05 6.740700000e+05 3.405000000e+08 1.666400000e+00 3.765700000e+00 1.248100000e+15
