# rad[Rsun] Temperature[K] rho[cgs] Pressure[cgs] xmr[0-1] Hp[cm] gmr[cm/s2] gsurf[cm/s2] grav[cm/s2] phi delta abadd abla abmu Nt2[rad2/sec2] Nmu2[rad2/sec2] N2[rad2/sec2] N[rad/sec] Kt[cgs] cp gamma1 kap[cgs] eint[erg/g/s]
0.000000000e+00 1.350600000e+07 8.091900000e+01 1.488600000e+17 0.000000000e+00 6.174630000e+12 2.364740000e+02 3.497110000e+04 6.761990000e-03 1.002570000e+00 9.752060000e-01 3.970870000e-01 3.970870000e-01 -0.000000000e+00 -4.155290000e-21 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.369100000e+05 3.345300000e+08 1.665300000e+00 1.435700000e+00 2.759000000e+15
1.892740000e-04 1.350600000e+07 8.091900000e+01 1.488600000e+17 3.896000000e-10 6.174630000e+12 2.979390000e+02 3.497110000e+04 8.519580000e-03 1.002570000e+00 9.752060000e-01 3.970870000e-01 3.970870000e-01 -0.000000000e+00 5.235340000e-21 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.369100000e+05 3.345300000e+08 1.665300000e+00 1.435700000e+00 2.759000000e+15
2.384700000e-04 1.350600000e+07 8.091900000e+01 1.488600000e+17 7.791000000e-10 4.900810000e+12 3.753790000e+02 3.497110000e+04 1.073400000e-02 1.002570000e+00 9.752060000e-01 3.970870000e-01 3.970870000e-01 -0.000000000e+00 1.099270000e-21 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.369100000e+05 3.345300000e+08 1.665300000e+00 1.435700000e+00 2.759000000e+15
2.449190000e-04 1.350600000e+07 8.091900000e+01 1.488600000e+17 8.440000000e-10 4.771780000e+12 3.855300000e+02 3.497110000e+04 1.102420000e-02 1.002570000e+00 9.752060000e-01 3.970870000e-01 3.970870000e-01 -0.000000000e+00 1.129060000e-21 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.369100000e+05 3.345300000e+08 1.665300000e+00 1.435700000e+00 2.759000000e+15
2.510440000e-04 1.350600000e+07 8.091900000e+01 1.488600000e+17 9.090000000e-10 4.655350000e+12 3.951720000e+02 3.497110000e+04 1.130000000e-02 1.002570000e+00 9.752060000e-01 3.970870000e-01 3.970870000e-01 -0.000000000e+00 1.157080000e-21 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.369100000e+05 3.345300000e+08 1.665300000e+00 1.435700000e+00 2.759000000e+15
2.568850000e-04 1.350600000e+07 8.091900000e+01 1.488600000e+17 9.739000000e-10 4.549510000e+12 4.043650000e+02 3.497110000e+04 1.156280000e-02 1.002570000e+00 9.752060000e-01 3.970870000e-01 3.970870000e-01 -0.000000000e+00 1.184200000e-21 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.369100000e+05 3.345300000e+08 1.665300000e+00 1.435700000e+00 2.759000000e+15
2.624710000e-04 1.350600000e+07 8.091900000e+01 1.488600000e+17 1.038800000e-09 4.452680000e+12 4.131580000e+02 3.497110000e+04 1.181430000e-02 1.002570000e+00 9.752060000e-01 3.970870000e-01 3.970870000e-01 -0.000000000e+00 1.210100000e-21 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.369100000e+05 3.345300000e+08 1.665300000e+00 1.435700000e+00 2.759000000e+15
2.678290000e-04 1.350600000e+07 8.091900000e+01 1.488600000e+17 1.103700000e-09 4.363600000e+12 4.215930000e+02 3.497110000e+04 1.205550000e-02 1.002570000e+00 9.752060000e-01 3.970870000e-01 3.970870000e-01 -0.000000000e+00 1.234460000e-21 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.369100000e+05 3.345300000e+08 1.665300000e+00 1.435700000e+00 2.759000000e+15
2.729810000e-04 1.350600000e+07 8.091900000e+01 1.488600000e+17 1.168700000e-09 4.281250000e+12 4.297020000e+02 3.497110000e+04 1.228740000e-02 1.002570000e+00 9.752060000e-01 3.970870000e-01 3.970870000e-01 -0.000000000e+00 1.258530000e-21 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.369100000e+05 3.345300000e+08 1.665300000e+00 1.435700000e+00 2.759000000e+15
2.779450000e-04 1.350600000e+07 8.091900000e+01 1.488600000e+17 1.233600000e-09 4.204780000e+12 4.375170000e+02 3.497110000e+04 1.251080000e-02 1.002570000e+00 9.752060000e-01 3.970870000e-01 3.970870000e-01 -0.000000000e+00 1.281280000e-21 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.369100000e+05 3.345300000e+08 1.665300000e+00 1.435700000e+00 2.759000000e+15
2.827380000e-04 1.350600000e+07 8.091900000e+01 1.488600000e+17 1.298500000e-09 4.133500000e+12 4.450610000e+02 3.497110000e+04 1.272660000e-02 1.002570000e+00 9.752060000e-01 3.970870000e-01 3.970870000e-01 -0.000000000e+00 1.303560000e-21 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.369100000e+05 3.345300000e+08 1.665300000e+00 1.435700000e+00 2.759000000e+15
2.873740000e-04 1.350600000e+07 8.091900000e+01 1.488600000e+17 1.363400000e-09 4.066820000e+12 4.523590000e+02 3.497110000e+04 1.293520000e-02 1.002570000e+00 9.752060000e-01 3.970870000e-01 3.970870000e-01 -0.000000000e+00 1.324800000e-21 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.369100000e+05 3.345300000e+08 1.665300000e+00 1.435700000e+00 2.759000000e+15
2.918650000e-04 1.350600000e+07 8.091900000e+01 1.488600000e+17 1.428400000e-09 4.004240000e+12 4.594280000e+02 3.497110000e+04 1.313740000e-02 1.002570000e+00 9.752060000e-01 3.970870000e-01 3.970870000e-01 -0.000000000e+00 1.345170000e-21 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.369100000e+05 3.345300000e+08 1.665300000e+00 1.435700000e+00 2.759000000e+15
2.962220000e-04 1.350600000e+07 8.091900000e+01 1.488600000e+17 1.493300000e-09 3.945350000e+12 4.662860000e+02 3.497110000e+04 1.333350000e-02 1.002570000e+00 9.752060000e-01 3.970870000e-01 3.970870000e-01 -0.000000000e+00 1.365880000e-21 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.369100000e+05 3.345300000e+08 1.665300000e+00 1.435700000e+00 2.759000000e+15
3.004540000e-04 1.350600000e+07 8.091900000e+01 1.488600000e+17 1.558200000e-09 3.889770000e+12 4.729480000e+02 3.497110000e+04 1.352400000e-02 1.002570000e+00 9.752060000e-01 3.970870000e-01 3.970870000e-01 -0.000000000e+00 2.769630000e-21 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.369100000e+05 3.345300000e+08 1.665300000e+00 1.435700000e+00 2.759000000e+15
3.085780000e-04 1.350600000e+07 8.091900000e+01 1.488600000e+17 1.688100000e-09 3.787360000e+12 4.857370000e+02 3.497110000e+04 1.388970000e-02 1.002570000e+00 9.752060000e-01 3.970870000e-01 3.970870000e-01 -0.000000000e+00 2.845020000e-21 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.369100000e+05 3.345300000e+08 1.665300000e+00 1.435700000e+00 2.759000000e+15
3.162960000e-04 1.350600000e+07 8.091900000e+01 1.488600000e+17 1.817900000e-09 3.694950000e+12 4.978850000e+02 3.497110000e+04 1.423710000e-02 1.002570000e+00 9.752060000e-01 3.970870000e-01 3.970870000e-01 -0.000000000e+00 2.916320000e-21 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.369100000e+05 3.345300000e+08 1.665300000e+00 1.435700000e+00 2.759000000e+15
3.236540000e-04 1.350600000e+07 8.091900000e+01 1.488600000e+17 1.947800000e-09 3.610940000e+12 5.094680000e+02 3.497110000e+04 1.456830000e-02 1.002570000e+00 9.752060000e-01 3.970870000e-01 3.970870000e-01 -0.000000000e+00 2.984040000e-21 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.369100000e+05 3.345300000e+08 1.665300000e+00 1.435700000e+00 2.759000000e+15
3.306920000e-04 1.350600000e+07 8.091900000e+01 1.488600000e+17 2.077600000e-09 3.534090000e+12 5.205470000e+02 3.497110000e+04 1.488510000e-02 1.002570000e+00 9.752060000e-01 3.970870000e-01 3.970870000e-01 -0.000000000e+00 3.048450000e-21 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.369100000e+05 3.345300000e+08 1.665300000e+00 1.435700000e+00 2.759000000e+15
3.374430000e-04 1.350600000e+07 8.091900000e+01 1.488600000e+17 2.207500000e-09 3.463390000e+12 5.311730000e+02 3.497110000e+04 1.518890000e-02 1.002570000e+00 9.752060000e-01 3.970870000e-01 3.970870000e-01 -0.000000000e+00 3.111120000e-21 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.369100000e+05 3.345300000e+08 1.665300000e+00 1.435700000e+00 2.759000000e+15
3.439340000e-04 1.350600000e+07 8.091900000e+01 1.488600000e+17 2.337300000e-09 3.398030000e+12 5.413910000e+02 3.497110000e+04 1.548110000e-02 1.002570000e+00 9.752060000e-01 3.970870000e-01 3.970870000e-01 -0.000000000e+00 3.171170000e-21 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.369100000e+05 3.345300000e+08 1.665300000e+00 1.435700000e+00 2.759000000e+15
3.501890000e-04 1.350600000e+07 8.091900000e+01 1.488600000e+17 2.467200000e-09 3.337340000e+12 5.512360000e+02 3.497110000e+04 1.576260000e-02 1.002570000e+00 9.752060000e-01 3.970870000e-01 3.970870000e-01 -0.000000000e+00 3.228850000e-21 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.369100000e+05 3.345300000e+08 1.665300000e+00 1.435700000e+00 2.759000000e+15
3.562280000e-04 1.350600000e+07 8.091900000e+01 1.488600000e+17 2.597000000e-09 3.280760000e+12 5.607420000e+02 3.497110000e+04 1.603450000e-02 1.002570000e+00 9.752060000e-01 3.970870000e-01 3.970870000e-01 -0.000000000e+00 3.284300000e-21 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.369100000e+05 3.345300000e+08 1.665300000e+00 1.435700000e+00 2.759000000e+15
3.620680000e-04 1.350600000e+07 8.091900000e+01 1.488600000e+17 2.726900000e-09 3.227840000e+12 5.699360000e+02 3.497110000e+04 1.629740000e-02 1.002570000e+00 9.752060000e-01 3.970870000e-01 3.970870000e-01 -0.000000000e+00 3.338020000e-21 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.369100000e+05 3.345300000e+08 1.665300000e+00 1.435700000e+00 2.759000000e+15
3.677270000e-04 1.350600000e+07 8.091900000e+01 1.488600000e+17 2.856700000e-09 3.178170000e+12 5.788430000e+02 3.497110000e+04 1.655200000e-02 1.002570000e+00 9.752060000e-01 3.970870000e-01 3.970870000e-01 -0.000000000e+00 3.390090000e-21 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.369100000e+05 3.345300000e+08 1.665300000e+00 1.435700000e+00 2.759000000e+15
3.732160000e-04 1.350600000e+07 8.091900000e+01 1.488600000e+17 2.986600000e-09 3.131420000e+12 5.874840000e+02 3.497110000e+04 1.679910000e-02 1.002570000e+00 9.752060000e-01 3.970870000e-01 3.970870000e-01 -0.000000000e+00 3.441210000e-21 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.369100000e+05 3.345300000e+08 1.665300000e+00 1.435700000e+00 2.759000000e+15
3.785480000e-04 1.350600000e+07 8.091900000e+01 1.488600000e+17 3.116400000e-09 3.087310000e+12 5.958770000e+02 3.497110000e+04 1.703910000e-02 1.002570000e+00 9.752060000e-01 3.970870000e-01 3.970870000e-01 -0.000000000e+00 6.979770000e-21 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.369100000e+05 3.345300000e+08 1.665300000e+00 1.435700000e+00 2.759000000e+15
3.887840000e-04 1.350600000e+07 8.091900000e+01 1.488600000e+17 3.376100000e-09 3.006030000e+12 6.119900000e+02 3.497110000e+04 1.749990000e-02 1.002570000e+00 9.752060000e-01 3.970870000e-01 3.970870000e-01 -0.000000000e+00 7.168350000e-21 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.369100000e+05 3.345300000e+08 1.665300000e+00 1.435700000e+00 2.759000000e+15
