# rad[Rsun] Temperature[K] rho[cgs] Pressure[cgs] xmr[0-1] Hp[cm] gmr[cm/s2] gsurf[cm/s2] grav[cm/s2] phi delta abadd abla abmu Nt2[rad2/sec2] Nmu2[rad2/sec2] N2[rad2/sec2] N[rad/sec] Kt[cgs] cp gamma1 kap[cgs] eint[erg/g/s] mu Omega[rad/sec]
0.000000000e+00 1.293200000e+07 1.406100000e+02 1.876400000e+17 0.000000000e+00 2.208680000e+11 4.795370000e+03 3.637380000e+04 1.318360000e-01 1.009870000e+00 9.564930000e-01 3.966520000e-01 3.044410000e-01 1.960940000e-01 1.914940000e-09 4.299530000e-09 6.214470000e-09 7.883190000e-05 7.635600000e+04 2.488200000e+08 1.666600000e+00 1.741300000e+00 1.998000000e+15 8.178390000e-01 8.430130000e-07
2.208834000e-03 1.293200000e+07 1.405900000e+02 1.876100000e+17 1.344770400e-06 2.208680000e+11 6.041670000e+03 3.637380000e+04 1.660990000e-01 1.009870000e+00 9.564970000e-01 3.966520000e-01 3.044410000e-01 1.960940000e-01 2.412640000e-09 5.416960000e-09 7.829600000e-09 8.848500000e-05 7.636100000e+04 2.488300000e+08 1.666600000e+00 1.741400000e+00 1.998000000e+15 8.177990000e-01 8.430130000e-07
2.401301000e-03 1.293100000e+07 1.405800000e+02 1.876000000e+17 1.727764200e-06 2.031730000e+11 6.567900000e+03 3.637380000e+04 1.805660000e-01 1.009860000e+00 9.564980000e-01 3.966520000e-01 3.044420000e-01 2.316790000e-01 2.851180000e-09 7.563400000e-09 1.041460000e-08 1.020520000e-04 7.636300000e+04 2.488400000e+08 1.666600000e+00 1.741400000e+00 1.998000000e+15 8.177800000e-01 8.430130000e-07
2.567061000e-03 1.293100000e+07 1.405600000e+02 1.875800000e+17 2.110758100e-06 1.900610000e+11 7.021040000e+03 3.637380000e+04 1.930240000e-01 1.009860000e+00 9.565000000e-01 3.966520000e-01 3.044430000e-01 2.341990000e-01 3.258120000e-09 8.737000000e-09 1.199510000e-08 1.095220000e-04 7.636600000e+04 2.488500000e+08 1.666600000e+00 1.741500000e+00 1.998000000e+15 8.177530000e-01 8.430130000e-07
2.846207000e-03 1.293100000e+07 1.405500000e+02 1.875600000e+17 2.876745700e-06 1.714330000e+11 7.784010000e+03 3.637380000e+04 2.140000000e-01 1.009860000e+00 9.565020000e-01 3.966520000e-01 3.044470000e-01 2.407780000e-01 4.004550000e-09 1.104070000e-08 1.504520000e-08 1.226590000e-04 7.637000000e+04 2.488600000e+08 1.666600000e+00 1.741500000e+00 1.998100000e+15 8.177190000e-01 8.430130000e-07
3.079290000e-03 1.293000000e+07 1.405300000e+02 1.875400000e+17 3.642733300e-06 1.584670000e+11 8.420960000e+03 3.637380000e+04 2.315110000e-01 1.009860000e+00 9.565040000e-01 3.966520000e-01 3.044500000e-01 2.291590000e-01 4.686500000e-09 1.229780000e-08 1.698430000e-08 1.303240000e-04 7.637400000e+04 2.488700000e+08 1.666600000e+00 1.741600000e+00 1.998100000e+15 8.176890000e-01 8.430130000e-07
3.281612000e-03 1.293000000e+07 1.405200000e+02 1.875200000e+17 4.408721000e-06 1.487070000e+11 8.973730000e+03 3.637380000e+04 2.467090000e-01 1.009860000e+00 9.565070000e-01 3.966520000e-01 3.044540000e-01 2.257310000e-01 5.321760000e-09 1.375630000e-08 1.907800000e-08 1.381230000e-04 7.637700000e+04 2.488800000e+08 1.666600000e+00 1.741700000e+00 1.998100000e+15 8.176580000e-01 8.430130000e-07
3.508716000e-03 1.292900000e+07 1.405000000e+02 1.875000000e+17 5.388471700e-06 1.390920000e+11 9.594100000e+03 3.637380000e+04 2.637640000e-01 1.009860000e+00 9.565090000e-01 3.966530000e-01 3.044580000e-01 2.236060000e-01 6.082710000e-09 1.557580000e-08 2.165850000e-08 1.471680000e-04 7.638100000e+04 2.488900000e+08 1.666600000e+00 1.741700000e+00 1.998100000e+15 8.176260000e-01 8.430130000e-07
3.709726000e-03 1.292900000e+07 1.404800000e+02 1.874800000e+17 6.368222300e-06 1.315650000e+11 1.014310000e+04 3.637380000e+04 2.788560000e-01 1.009860000e+00 9.565130000e-01 3.966530000e-01 3.044610000e-01 2.268980000e-01 6.798450000e-09 1.766550000e-08 2.446390000e-08 1.564090000e-04 7.638700000e+04 2.489000000e+08 1.666600000e+00 1.741800000e+00 1.998100000e+15 8.175790000e-01 8.430130000e-07
4.056912000e-03 1.292800000e+07 1.404500000e+02 1.874400000e+17 8.327723600e-06 1.203220000e+11 1.109100000e+04 3.637380000e+04 3.049170000e-01 1.009850000e+00 9.565170000e-01 3.966530000e-01 3.044680000e-01 2.338290000e-01 8.127890000e-09 2.176650000e-08 2.989430000e-08 1.729000000e-04 7.639400000e+04 2.489200000e+08 1.666600000e+00 1.741900000e+00 1.998100000e+15 8.175200000e-01 8.430120000e-07
