# rad[Rsun] Temperature[K] rho[cgs] Pressure[cgs] xmr[0-1] Hp[cm] gmr[cm/s2] gsurf[cm/s2] grav[cm/s2] phi delta abadd abla abmu Nt2[rad2/sec2] Nmu2[rad2/sec2] N2[rad2/sec2] N[rad/sec] Kt[cgs] cp gamma1 kap[cgs] eint[erg/g/s] mu Omega[rad/sec]
9.287400000e-05 1.157200000e+07 8.658700000e+01 1.304000000e+17 6.160000000e-11 9.627240000e+12 1.564360000e+02 4.128740000e+04 3.788940000e-03 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645770000e-01 3.920110000e-03 5.099910000e-13 6.396810000e-14 5.739590000e-13 7.576010000e-07 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.361670000e-06
1.022210000e-04 1.157200000e+07 8.658700000e+01 1.304000000e+17 8.210000000e-11 8.746930000e+12 1.721800000e+02 4.128740000e+04 4.170270000e-03 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645770000e-01 5.402090000e-03 6.178110000e-13 1.067870000e-13 7.245980000e-13 8.512330000e-07 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.362220000e-06
1.101140000e-04 1.157200000e+07 8.658700000e+01 1.304000000e+17 1.026000000e-10 8.119930000e+12 1.854750000e+02 4.128740000e+04 4.492280000e-03 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645770000e-01 6.682100000e-03 7.169070000e-13 1.532770000e-13 8.701840000e-13 9.328370000e-07 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.362540000e-06
1.170140000e-04 1.157200000e+07 8.658700000e+01 1.304000000e+17 1.231000000e-10 7.641150000e+12 1.970960000e+02 4.128740000e+04 4.773760000e-03 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645770000e-01 8.035240000e-03 8.095630000e-13 2.081380000e-13 1.017700000e-12 1.008810000e-06 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.362760000e-06
1.287910000e-04 1.157200000e+07 8.658700000e+01 1.304000000e+17 1.642000000e-10 6.942440000e+12 2.169330000e+02 4.128740000e+04 5.254210000e-03 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645770000e-01 1.059030000e-02 9.807180000e-13 3.323170000e-13 1.313040000e-12 1.145880000e-06 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.363020000e-06
1.387350000e-04 1.157200000e+07 8.658700000e+01 1.304000000e+17 2.052000000e-10 6.444790000e+12 2.336840000e+02 4.128740000e+04 5.659920000e-03 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645770000e-01 1.268160000e-02 1.138020000e-12 4.617680000e-13 1.599790000e-12 1.264830000e-06 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.363180000e-06
1.474280000e-04 1.157200000e+07 8.658700000e+01 1.304000000e+17 2.462000000e-10 6.064780000e+12 2.483260000e+02 4.128740000e+04 6.014570000e-03 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645770000e-01 1.484640000e-02 1.285110000e-12 6.104640000e-13 1.895570000e-12 1.376800000e-06 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.363280000e-06
1.622660000e-04 1.157200000e+07 8.658700000e+01 1.304000000e+17 3.283000000e-10 5.510220000e+12 2.733180000e+02 4.128740000e+04 6.619890000e-03 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645770000e-01 1.883910000e-02 1.556800000e-12 9.384050000e-13 2.495210000e-12 1.579620000e-06 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.363410000e-06
1.747960000e-04 1.157200000e+07 8.658700000e+01 1.304000000e+17 4.104000000e-10 5.115240000e+12 2.944230000e+02 4.128740000e+04 7.131060000e-03 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645770000e-01 2.176640000e-02 1.806510000e-12 1.258120000e-12 3.064640000e-12 1.750610000e-06 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.363490000e-06
1.857480000e-04 1.157200000e+07 8.658700000e+01 1.304000000e+17 4.925000000e-10 4.813620000e+12 3.128710000e+02 4.128740000e+04 7.577880000e-03 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645770000e-01 2.477370000e-02 2.040000000e-12 1.617030000e-12 3.657020000e-12 1.912330000e-06 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.363530000e-06
