# rad[Rsun] Temperature[K] rho[cgs] Pressure[cgs] xmr[0-1] Hp[cm] gmr[cm/s2] gsurf[cm/s2] grav[cm/s2] phi delta abadd abla abmu Nt2[rad2/sec2] Nmu2[rad2/sec2] N2[rad2/sec2] N[rad/sec] Kt[cgs] cp gamma1 kap[cgs] eint[erg/g/s] mu Omega[rad/sec]
0.000000000e+00 1.291000000e+07 1.395800000e+02 1.865600000e+17 0.000000000e+00 2.222920000e+11 4.772030000e+03 3.644510000e+04 1.309370000e-01 1.009770000e+00 9.566520000e-01 3.966590000e-01 3.053180000e-01 1.951160000e-01 1.875850000e-09 4.229600000e-09 6.105450000e-09 7.813740000e-05 7.668500000e+04 2.496700000e+08 1.666600000e+00 1.744400000e+00 2.001100000e+15 8.151330000e-01 8.486870000e-07
2.214229000e-03 1.291000000e+07 1.395600000e+02 1.865300000e+17 1.344770400e-06 2.222920000e+11 6.012270000e+03 3.644510000e+04 1.649680000e-01 1.009770000e+00 9.566550000e-01 3.966590000e-01 3.053180000e-01 1.951160000e-01 2.363390000e-09 5.328860000e-09 7.692250000e-09 8.770550000e-05 7.669000000e+04 2.496800000e+08 1.666600000e+00 1.744500000e+00 2.001100000e+15 8.150940000e-01 8.486870000e-07
2.407166000e-03 1.290900000e+07 1.395500000e+02 1.865200000e+17 1.727764200e-06 2.044820000e+11 6.535930000e+03 3.644510000e+04 1.793360000e-01 1.009770000e+00 9.566560000e-01 3.966590000e-01 3.053190000e-01 2.305250000e-01 2.792980000e-09 7.440420000e-09 1.023340000e-08 1.011600000e-04 7.669200000e+04 2.496900000e+08 1.666600000e+00 1.744500000e+00 2.001100000e+15 8.150750000e-01 8.486870000e-07
2.573330000e-03 1.290900000e+07 1.395400000e+02 1.865000000e+17 2.110758100e-06 1.912850000e+11 6.986870000e+03 3.644510000e+04 1.917090000e-01 1.009770000e+00 9.566580000e-01 3.966590000e-01 3.053210000e-01 2.330340000e-01 3.191610000e-09 8.595000000e-09 1.178660000e-08 1.085660000e-04 7.669600000e+04 2.497000000e+08 1.666600000e+00 1.744600000e+00 2.001100000e+15 8.150480000e-01 8.486870000e-07
2.853158000e-03 1.290900000e+07 1.395200000e+02 1.864800000e+17 2.876745700e-06 1.725370000e+11 7.746130000e+03 3.644510000e+04 2.125420000e-01 1.009770000e+00 9.566610000e-01 3.966590000e-01 3.053240000e-01 2.395780000e-01 3.922810000e-09 1.086110000e-08 1.478390000e-08 1.215890000e-04 7.670000000e+04 2.497100000e+08 1.666600000e+00 1.744700000e+00 2.001200000e+15 8.150150000e-01 8.486870000e-07
3.086809000e-03 1.290800000e+07 1.395100000e+02 1.864600000e+17 3.642733300e-06 1.594880000e+11 8.379980000e+03 3.644510000e+04 2.299340000e-01 1.009760000e+00 9.566630000e-01 3.966590000e-01 3.053280000e-01 2.280120000e-01 4.590850000e-09 1.209760000e-08 1.668840000e-08 1.291840000e-04 7.670300000e+04 2.497200000e+08 1.666600000e+00 1.744700000e+00 2.001200000e+15 8.149860000e-01 8.486870000e-07
3.289625000e-03 1.290800000e+07 1.395000000e+02 1.864400000e+17 4.408721000e-06 1.496650000e+11 8.930070000e+03 3.644510000e+04 2.450280000e-01 1.009760000e+00 9.566650000e-01 3.966590000e-01 3.053310000e-01 2.245990000e-01 5.213140000e-09 1.353220000e-08 1.874530000e-08 1.369140000e-04 7.670700000e+04 2.497300000e+08 1.666600000e+00 1.744800000e+00 2.001200000e+15 8.149550000e-01 8.486870000e-07
3.517283000e-03 1.290700000e+07 1.394800000e+02 1.864300000e+17 5.388471700e-06 1.399880000e+11 9.547420000e+03 3.644510000e+04 2.619670000e-01 1.009760000e+00 9.566680000e-01 3.966590000e-01 3.053350000e-01 2.224840000e-01 5.958570000e-09 1.532210000e-08 2.128060000e-08 1.458790000e-04 7.671000000e+04 2.497400000e+08 1.666600000e+00 1.744800000e+00 2.001200000e+15 8.149230000e-01 8.486870000e-07
3.718784000e-03 1.290700000e+07 1.394600000e+02 1.864000000e+17 6.368222300e-06 1.324120000e+11 1.009370000e+04 3.644510000e+04 2.769570000e-01 1.009760000e+00 9.566710000e-01 3.966600000e-01 3.053390000e-01 2.257570000e-01 6.659720000e-09 1.737760000e-08 2.403730000e-08 1.550400000e-04 7.671600000e+04 2.497500000e+08 1.666600000e+00 1.744900000e+00 2.001200000e+15 8.148770000e-01 8.486870000e-07
4.066816000e-03 1.290600000e+07 1.394300000e+02 1.863600000e+17 8.327723600e-06 1.210970000e+11 1.103700000e+04 3.644510000e+04 3.028400000e-01 1.009760000e+00 9.566750000e-01 3.966600000e-01 3.053450000e-01 2.326480000e-01 7.962040000e-09 2.141130000e-08 2.937330000e-08 1.713860000e-04 7.672300000e+04 2.497700000e+08 1.666600000e+00 1.745000000e+00 2.001200000e+15 8.148190000e-01 8.486870000e-07
