# rad[Rsun] Temperature[K] rho[cgs] Pressure[cgs] xmr[0-1] Hp[cm] gmr[cm/s2] gsurf[cm/s2] grav[cm/s2] phi delta abadd abla abmu Nt2[rad2/sec2] Nmu2[rad2/sec2] N2[rad2/sec2] N[rad/sec] Kt[cgs] cp gamma1 kap[cgs] eint[erg/g/s] mu
5.637995000e-03 1.486600000e+07 1.303800000e+02 2.082400000e+17 1.660449950e-05 1.102900000e+11 1.431270000e+04 2.817180000e+04 5.080510000e-01 1.007090000e+00 9.683240000e-01 3.966630000e-01 3.327920000e-01 2.479220000e-01 8.026270000e-09 3.259430000e-08 4.062060000e-08 2.015450000e-04 0.000000000e+00 2.592300000e+08 1.665300000e+00 1.249800000e+00 2.395500000e+15 7.920110000e-01
6.093817000e-03 1.486400000e+07 1.303400000e+02 2.081800000e+17 2.096227270e-05 1.020610000e+11 1.546690000e+04 2.817180000e+04 5.490230000e-01 1.007090000e+00 9.683280000e-01 3.966630000e-01 3.327950000e-01 2.478140000e-01 9.372450000e-09 3.804580000e-08 4.741830000e-08 2.177570000e-04 0.000000000e+00 2.592600000e+08 1.665300000e+00 1.249900000e+00 2.395500000e+15 7.919180000e-01
6.490180000e-03 1.486200000e+07 1.302900000e+02 2.080900000e+17 2.532004590e-05 9.584680000e+10 1.647010000e+04 2.817180000e+04 5.846310000e-01 1.007090000e+00 9.683340000e-01 3.966640000e-01 3.327980000e-01 2.477740000e-01 1.062700000e-08 4.313290000e-08 5.375990000e-08 2.318620000e-04 0.000000000e+00 2.593000000e+08 1.665300000e+00 1.250100000e+00 2.395600000e+15 7.917870000e-01
7.160815000e-03 1.486000000e+07 1.302200000e+02 2.079900000e+17 3.399707790e-05 8.690160000e+10 1.816610000e+04 2.817180000e+04 6.448330000e-01 1.007080000e+00 9.683410000e-01 3.966640000e-01 3.328030000e-01 2.447230000e-01 1.292710000e-08 5.182600000e-08 6.475310000e-08 2.544660000e-04 0.000000000e+00 2.593500000e+08 1.665300000e+00 1.250300000e+00 2.395600000e+15 7.916310000e-01
7.722925000e-03 1.485700000e+07 1.301600000e+02 2.079000000e+17 4.263559560e-05 8.060270000e+10 1.958640000e+04 2.817180000e+04 6.952470000e-01 1.007080000e+00 9.683470000e-01 3.966640000e-01 3.328070000e-01 2.473630000e-01 1.502610000e-08 6.089270000e-08 7.591880000e-08 2.755340000e-04 0.000000000e+00 2.594000000e+08 1.665300000e+00 1.250500000e+00 2.395700000e+15 7.914860000e-01
8.213534000e-03 1.485400000e+07 1.300800000e+02 2.077700000e+17 5.127411330e-05 7.581130000e+10 2.082490000e+04 2.817180000e+04 7.392120000e-01 1.007070000e+00 9.683560000e-01 3.966650000e-01 3.328110000e-01 2.471770000e-01 1.698530000e-08 6.878270000e-08 8.576800000e-08 2.928620000e-04 0.000000000e+00 2.594700000e+08 1.665300000e+00 1.250800000e+00 2.395800000e+15 7.912840000e-01
9.031080000e-03 1.485000000e+07 1.299400000e+02 2.075700000e+17 6.812581630e-05 6.898650000e+10 2.288640000e+04 2.817180000e+04 8.123870000e-01 1.007060000e+00 9.683700000e-01 3.966660000e-01 3.328180000e-01 2.468560000e-01 2.051170000e-08 8.296060000e-08 1.034720000e-07 3.216710000e-04 0.000000000e+00 2.595700000e+08 1.665300000e+00 1.251200000e+00 2.395900000e+15 7.909670000e-01
1.010566200e-02 1.484400000e+07 1.297800000e+02 2.073300000e+17 9.538330150e-05 6.170050000e+10 2.559100000e+04 2.817180000e+04 9.083930000e-01 1.007050000e+00 9.683870000e-01 3.966670000e-01 3.328280000e-01 2.470710000e-01 2.564110000e-08 1.038070000e-07 1.294480000e-07 3.597880000e-04 0.000000000e+00 2.597000000e+08 1.665300000e+00 1.251800000e+00 2.396000000e+15 7.905920000e-01
1.110670100e-02 1.483900000e+07 1.296300000e+02 2.071200000e+17 1.265347132e-04 5.618890000e+10 2.810510000e+04 2.817180000e+04 9.976320000e-01 1.007040000e+00 9.684020000e-01 3.966680000e-01 3.328390000e-01 3.004870000e-01 3.091800000e-08 1.521870000e-07 1.831050000e-07 4.279080000e-04 0.000000000e+00 2.598400000e+08 1.665300000e+00 1.252200000e+00 2.396400000e+15 7.901860000e-01
1.182211700e-02 1.483200000e+07 1.294500000e+02 2.068500000e+17 1.525051073e-04 5.282530000e+10 2.989780000e+04 2.817180000e+04 1.061270000e+00 1.007030000e+00 9.684210000e-01 3.966690000e-01 3.328640000e-01 2.456110000e-01 3.497170000e-08 1.408090000e-07 1.757810000e-07 4.192630000e-04 0.000000000e+00 2.599800000e+08 1.665300000e+00 1.252800000e+00 2.396600000e+15 7.897600000e-01
1.304016600e-02 1.482300000e+07 1.292100000e+02 2.064700000e+17 2.044458957e-04 4.794840000e+10 3.294260000e+04 2.817180000e+04 1.169350000e+00 1.007010000e+00 9.684470000e-01 3.966710000e-01 3.329000000e-01 2.459070000e-01 4.243110000e-08 1.711300000e-07 2.135610000e-07 4.621270000e-04 0.000000000e+00 2.601700000e+08 1.665300000e+00 1.253700000e+00 2.396800000e+15 7.891730000e-01
1.432987100e-02 1.481100000e+07 1.288800000e+02 2.059700000e+17 2.709652031e-04 4.369340000e+10 3.615550000e+04 2.817180000e+04 1.283390000e+00 1.006990000e+00 9.684810000e-01 3.966730000e-01 3.329320000e-01 2.453780000e-01 5.108230000e-08 2.056580000e-07 2.567400000e-07 5.066960000e-04 0.000000000e+00 2.604300000e+08 1.665300000e+00 1.254800000e+00 2.397100000e+15 7.883960000e-01
1.600999300e-02 1.479600000e+07 1.284700000e+02 2.053500000e+17 3.772072491e-04 3.918600000e+10 4.032210000e+04 2.817180000e+04 1.431290000e+00 1.006970000e+00 9.685240000e-01 3.966760000e-01 3.329690000e-01 2.452490000e-01 6.349080000e-08 2.555910000e-07 3.190820000e-07 5.648730000e-04 0.000000000e+00 2.607600000e+08 1.665300000e+00 1.256200000e+00 2.397500000e+15 7.874230000e-01
1.774626100e-02 1.477800000e+07 1.279600000e+02 2.045800000e+17 5.126678723e-04 3.543240000e+10 4.460330000e+04 2.817180000e+04 1.583260000e+00 1.006930000e+00 9.685770000e-01 3.966800000e-01 3.330060000e-01 2.434420000e-01 7.763540000e-08 3.103580000e-07 3.879930000e-07 6.228910000e-04 0.000000000e+00 2.611700000e+08 1.665300000e+00 1.257900000e+00 2.397900000e+15 7.862120000e-01
1.982897600e-02 1.475500000e+07 1.273500000e+02 2.036500000e+17 7.132329239e-04 3.180610000e+10 4.970220000e+04 2.817180000e+04 1.764260000e+00 1.006890000e+00 9.686410000e-01 3.966840000e-01 3.330490000e-01 2.406150000e-01 9.632250000e-08 3.807660000e-07 4.770890000e-07 6.907160000e-04 0.000000000e+00 2.616500000e+08 1.665300000e+00 1.260000000e+00 2.398400000e+15 7.847770000e-01
2.193557400e-02 1.473800000e+07 1.268800000e+02 2.029200000e+17 9.626227645e-04 2.884750000e+10 5.481550000e+04 2.817180000e+04 1.945760000e+00 1.006860000e+00 9.686900000e-01 3.966870000e-01 3.330890000e-01 2.399390000e-01 1.170640000e-07 4.616730000e-07 5.787360000e-07 7.607470000e-04 0.000000000e+00 2.620300000e+08 1.665300000e+00 1.261700000e+00 2.398700000e+15 7.836620000e-01
2.295708000e-02 1.472900000e+07 1.266400000e+02 2.025500000e+17 1.101736168e-03 2.761140000e+10 5.727820000e+04 2.817180000e+04 2.033180000e+00 1.006840000e+00 9.687150000e-01 3.966890000e-01 3.331110000e-01 2.410900000e-01 1.277630000e-07 5.064010000e-07 6.341640000e-07 7.963440000e-04 0.000000000e+00 2.622300000e+08 1.665300000e+00 1.262500000e+00 2.398900000e+15 7.830870000e-01
2.343630300e-02 1.472300000e+07 1.264800000e+02 2.023100000e+17 1.171292869e-03 2.706930000e+10 5.842950000e+04 2.817180000e+04 2.074040000e+00 1.006830000e+00 9.687320000e-01 3.966900000e-01 3.331220000e-01 2.391390000e-01 1.329230000e-07 5.226540000e-07 6.555770000e-07 8.096770000e-04 0.000000000e+00 2.623600000e+08 1.665300000e+00 1.263100000e+00 2.399100000e+15 7.827140000e-01
2.389725300e-02 1.471600000e+07 1.263000000e+02 2.020300000e+17 1.240849571e-03 2.656870000e+10 5.953440000e+04 2.817180000e+04 2.113260000e+00 1.006820000e+00 9.687510000e-01 3.966910000e-01 3.331320000e-01 2.385610000e-01 1.379720000e-07 5.412470000e-07 6.792190000e-07 8.241480000e-04 0.000000000e+00 2.625000000e+08 1.665300000e+00 1.263700000e+00 2.399200000e+15 7.822880000e-01
2.448629400e-02 1.470800000e+07 1.261000000e+02 2.017200000e+17 1.333591840e-03 2.595700000e+10 6.094270000e+04 2.817180000e+04 2.163250000e+00 1.006810000e+00 9.687730000e-01 3.966930000e-01 3.331440000e-01 2.381570000e-01 1.445420000e-07 5.661290000e-07 7.106710000e-07 8.430130000e-04 0.000000000e+00 2.626700000e+08 1.665300000e+00 1.264500000e+00 2.399300000e+15 7.817990000e-01
2.508529400e-02 1.470000000e+07 1.258800000e+02 2.014000000e+17 1.432428307e-03 2.536550000e+10 6.237050000e+04 2.817180000e+04 2.213940000e+00 1.006790000e+00 9.687950000e-01 3.966940000e-01 3.331570000e-01 2.508300000e-01 1.513540000e-07 6.243770000e-07 7.757310000e-07 8.807560000e-04 0.000000000e+00 2.628400000e+08 1.665300000e+00 1.265200000e+00 2.399600000e+15 7.812800000e-01
2.565792100e-02 1.469300000e+07 1.256800000e+02 2.010800000e+17 1.531264775e-03 2.482660000e+10 6.373120000e+04 2.817180000e+04 2.262240000e+00 1.006780000e+00 9.688170000e-01 3.966960000e-01 3.331720000e-01 2.373850000e-01 1.579840000e-07 6.169480000e-07 7.749330000e-07 8.803030000e-04 0.000000000e+00 2.630100000e+08 1.665300000e+00 1.265900000e+00 2.399700000e+15 7.808000000e-01
2.620693600e-02 1.468500000e+07 1.254700000e+02 2.007800000e+17 1.630101242e-03 2.433330000e+10 6.503200000e+04 2.817180000e+04 2.308410000e+00 1.006770000e+00 9.688390000e-01 3.966970000e-01 3.331870000e-01 2.767750000e-01 1.644460000e-07 7.486510000e-07 9.130970000e-07 9.555610000e-04 0.000000000e+00 2.632000000e+08 1.665300000e+00 1.266600000e+00 2.400100000e+15 7.802520000e-01
2.673473400e-02 1.467700000e+07 1.252400000e+02 2.004300000e+17 1.728937710e-03 2.387880000e+10 6.627850000e+04 2.817180000e+04 2.352660000e+00 1.006750000e+00 9.688630000e-01 3.966990000e-01 3.332100000e-01 2.364460000e-01 1.707340000e-07 6.643940000e-07 8.351280000e-07 9.138530000e-04 0.000000000e+00 2.633800000e+08 1.665300000e+00 1.267400000e+00 2.400300000e+15 7.797170000e-01
2.740877400e-02 1.466800000e+07 1.250000000e+02 2.000600000e+17 1.860719666e-03 2.332300000e+10 6.786510000e+04 2.817180000e+04 2.408980000e+00 1.006730000e+00 9.688880000e-01 3.967010000e-01 3.332420000e-01 2.365860000e-01 1.789050000e-07 6.968980000e-07 8.758030000e-07 9.358440000e-04 0.000000000e+00 2.635800000e+08 1.665300000e+00 1.268300000e+00 2.400400000e+15 7.791440000e-01
2.800026100e-02 1.465500000e+07 1.246600000e+02 1.995300000e+17 1.981595399e-03 2.285790000e+10 6.925260000e+04 2.817180000e+04 2.458220000e+00 1.006710000e+00 9.689240000e-01 3.967030000e-01 3.332730000e-01 2.356840000e-01 1.862010000e-07 7.228170000e-07 9.090180000e-07 9.534240000e-04 0.000000000e+00 2.638500000e+08 1.665400000e+00 1.269500000e+00 2.400700000e+15 7.783430000e-01
2.911648100e-02 1.464100000e+07 1.242900000e+02 1.989700000e+17 2.223346866e-03 2.203390000e+10 7.185790000e+04 2.817180000e+04 2.550700000e+00 1.006690000e+00 9.689630000e-01 3.967060000e-01 3.333370000e-01 2.486450000e-01 2.002460000e-07 8.207270000e-07 1.020970000e-06 1.010430000e-03 0.000000000e+00 2.641600000e+08 1.665400000e+00 1.270800000e+00 2.401000000e+15 7.774400000e-01
2.981757200e-02 1.463100000e+07 1.240200000e+02 1.985600000e+17 2.384514510e-03 2.154890000e+10 7.348530000e+04 2.817180000e+04 2.608470000e+00 1.006670000e+00 9.689920000e-01 3.967070000e-01 3.333860000e-01 2.335880000e-01 2.092420000e-07 8.062830000e-07 1.015520000e-06 1.007730000e-03 0.000000000e+00 2.643800000e+08 1.665400000e+00 1.271800000e+00 2.401200000e+15 7.768040000e-01
3.043544000e-02 1.462100000e+07 1.237700000e+02 1.981600000e+17 2.532656088e-03 2.114000000e+10 7.491380000e+04 2.817180000e+04 2.659180000e+00 1.006650000e+00 9.690180000e-01 3.967090000e-01 3.334300000e-01 2.330760000e-01 2.172950000e-07 8.359890000e-07 1.053280000e-06 1.026300000e-03 0.000000000e+00 2.645900000e+08 1.665400000e+00 1.272700000e+00 2.401400000e+15 7.762090000e-01
3.103037900e-02 1.461000000e+07 1.234800000e+02 1.977200000e+17 2.680797666e-03 2.076220000e+10 7.628430000e+04 2.817180000e+04 2.707830000e+00 1.006630000e+00 9.690490000e-01 3.967110000e-01 3.334740000e-01 2.323990000e-01 2.251540000e-07 8.642230000e-07 1.089380000e-06 1.043730000e-03 0.000000000e+00 2.648200000e+08 1.665400000e+00 1.273800000e+00 2.401500000e+15 7.755300000e-01
3.179151100e-02 1.459700000e+07 1.231400000e+02 1.971900000e+17 2.878319770e-03 2.030010000e+10 7.803000000e+04 2.817180000e+04 2.769790000e+00 1.006610000e+00 9.690850000e-01 3.967140000e-01 3.335320000e-01 2.313150000e-01 2.353510000e-07 8.998670000e-07 1.135220000e-06 1.065470000e-03 0.000000000e+00 2.651000000e+08 1.665400000e+00 1.275000000e+00 2.401700000e+15 7.747310000e-01
3.260368700e-02 1.458300000e+07 1.228000000e+02 1.966500000e+17 3.099170267e-03 1.983150000e+10 7.988350000e+04 2.817180000e+04 2.835590000e+00 1.006590000e+00 9.691220000e-01 3.967160000e-01 3.335960000e-01 2.306040000e-01 2.464020000e-07 9.400670000e-07 1.186470000e-06 1.089250000e-03 0.000000000e+00 2.653900000e+08 1.665400000e+00 1.276300000e+00 2.401900000e+15 7.739110000e-01
3.337944000e-02 1.457100000e+07 1.224700000e+02 1.961400000e+17 3.320020764e-03 1.940600000e+10 8.164470000e+04 2.817180000e+04 2.898100000e+00 1.006570000e+00 9.691570000e-01 3.967180000e-01 3.336600000e-01 2.294180000e-01 2.571160000e-07 9.767650000e-07 1.233880000e-06 1.110800000e-03 0.000000000e+00 2.656600000e+08 1.665400000e+00 1.277500000e+00 2.402000000e+15 7.731420000e-01
3.407260100e-02 1.455900000e+07 1.221600000e+02 1.956500000e+17 3.525690537e-03 1.904270000e+10 8.321060000e+04 2.817180000e+04 2.953690000e+00 1.006550000e+00 9.691900000e-01 3.967200000e-01 3.337180000e-01 2.290430000e-01 2.668180000e-07 1.012790000e-06 1.279600000e-06 1.131200000e-03 0.000000000e+00 2.659100000e+08 1.665400000e+00 1.278700000e+00 2.402200000e+15 7.724170000e-01
3.474030000e-02 1.454100000e+07 1.217100000e+02 1.949500000e+17 3.731360310e-03 1.870710000e+10 8.471200000e+04 2.817180000e+04 3.006980000e+00 1.006520000e+00 9.692380000e-01 3.967240000e-01 3.337750000e-01 2.284530000e-01 2.762820000e-07 1.046950000e-06 1.323230000e-06 1.150320000e-03 0.000000000e+00 2.662800000e+08 1.665400000e+00 1.280400000e+00 2.402400000e+15 7.713520000e-01
