# rad[Rsun] Temperature[K] rho[cgs] Pressure[cgs] xmr[0-1] Hp[cm] gmr[cm/s2] gsurf[cm/s2] grav[cm/s2] phi delta abadd abla abmu Nt2[rad2/sec2] Nmu2[rad2/sec2] N2[rad2/sec2] N[rad/sec] Kt[cgs] cp gamma1 kap[cgs] eint[erg/g/s] mu
1.700881830e-01 1.016500000e+07 4.660400000e+01 6.313100000e+16 2.382635889e-01 5.999320000e+09 2.256600000e+05 2.817180000e+04 8.010140000e+00 1.002100000e+00 9.814500000e-01 3.972170000e-01 2.890810000e-01 3.704620000e-02 3.992020000e-06 1.397360000e-06 5.389380000e-06 2.321500000e-03 0.000000000e+00 3.288100000e+08 1.666300000e+00 1.903800000e+00 2.032500000e+15 6.284290000e-01
1.706942950e-01 1.014200000e+07 4.632300000e+01 6.263300000e+16 2.400103403e-01 5.988390000e+09 2.257030000e+05 2.817180000e+04 8.011660000e+00 1.002090000e+00 9.815350000e-01 3.972190000e-01 2.886940000e-01 3.646050000e-02 4.014770000e-06 1.378010000e-06 5.392780000e-06 2.322240000e-03 0.000000000e+00 3.289800000e+08 1.666300000e+00 1.908700000e+00 2.028700000e+15 6.281270000e-01
1.714504740e-01 1.012100000e+07 4.607500000e+01 6.219500000e+16 2.421937795e-01 5.974850000e+09 2.257520000e+05 2.817180000e+04 8.013390000e+00 1.002080000e+00 9.816100000e-01 3.972200000e-01 2.882120000e-01 3.586480000e-02 4.042960000e-06 1.358830000e-06 5.401790000e-06 2.324170000e-03 0.000000000e+00 3.291300000e+08 1.666300000e+00 1.913100000e+00 2.025400000e+15 6.278640000e-01
1.719034150e-01 1.009800000e+07 4.579700000e+01 6.170400000e+16 2.435038431e-01 5.966800000e+09 2.257780000e+05 2.817180000e+04 8.014340000e+00 1.002060000e+00 9.816950000e-01 3.972210000e-01 2.879230000e-01 3.548070000e-02 4.060030000e-06 1.346220000e-06 5.406250000e-06 2.325130000e-03 0.000000000e+00 3.293000000e+08 1.666300000e+00 1.918100000e+00 2.021600000e+15 6.275700000e-01
1.728076340e-01 1.006700000e+07 4.542900000e+01 6.105700000e+16 2.461239702e-01 5.950870000e+09 2.258260000e+05 2.817180000e+04 8.016020000e+00 1.002050000e+00 9.818090000e-01 3.972230000e-01 2.873460000e-01 3.490770000e-02 4.093820000e-06 1.328270000e-06 5.422090000e-06 2.328540000e-03 0.000000000e+00 3.295300000e+08 1.666300000e+00 1.924700000e+00 2.016600000e+15 6.271850000e-01
1.737096860e-01 1.003700000e+07 4.506500000e+01 6.041600000e+16 2.487440973e-01 5.935120000e+09 2.258650000e+05 2.817180000e+04 8.017440000e+00 1.002030000e+00 9.819230000e-01 3.972250000e-01 2.867740000e-01 3.385260000e-02 4.127310000e-06 1.291720000e-06 5.419030000e-06 2.327880000e-03 0.000000000e+00 3.297400000e+08 1.666300000e+00 1.931300000e+00 2.011600000e+15 6.268120000e-01
1.746096400e-01 1.001200000e+07 4.476500000e+01 5.988700000e+16 2.513642244e-01 5.919560000e+09 2.258980000e+05 2.817180000e+04 8.018590000e+00 1.002010000e+00 9.820170000e-01 3.972260000e-01 2.862080000e-01 3.359980000e-02 4.160410000e-06 1.285610000e-06 5.446020000e-06 2.333670000e-03 0.000000000e+00 3.299200000e+08 1.666300000e+00 1.936900000e+00 2.007400000e+15 6.265040000e-01
1.752084780e-01 9.986600000e+06 4.446500000e+01 5.936200000e+16 2.531109758e-01 5.909310000e+09 2.259150000e+05 2.817180000e+04 8.019210000e+00 1.002000000e+00 9.821130000e-01 3.972280000e-01 2.858320000e-01 3.299580000e-02 4.182540000e-06 1.264760000e-06 5.447300000e-06 2.333950000e-03 0.000000000e+00 3.301000000e+08 1.666300000e+00 1.942500000e+00 2.003200000e+15 6.262000000e-01
1.761051010e-01 9.961600000e+06 4.416900000e+01 5.884200000e+16 2.557311029e-01 5.894080000e+09 2.259360000e+05 2.817180000e+04 8.019930000e+00 1.001980000e+00 9.822070000e-01 3.972290000e-01 2.852680000e-01 3.209680000e-02 4.215420000e-06 1.233560000e-06 5.448980000e-06 2.334310000e-03 0.000000000e+00 3.302700000e+08 1.666300000e+00 1.948100000e+00 1.999000000e+15 6.259060000e-01
1.767017800e-01 9.936600000e+06 4.387300000e+01 5.832600000e+16 2.574778542e-01 5.884020000e+09 2.259450000e+05 2.817180000e+04 8.020270000e+00 1.001970000e+00 9.823030000e-01 3.972310000e-01 2.848910000e-01 3.194700000e-02 4.237480000e-06 1.229920000e-06 5.467400000e-06 2.338250000e-03 0.000000000e+00 3.304400000e+08 1.666400000e+00 1.953600000e+00 1.994900000e+15 6.256120000e-01
1.775952610e-01 9.906800000e+06 4.352200000e+01 5.771300000e+16 2.600979813e-01 5.869110000e+09 2.259540000e+05 2.817180000e+04 8.020570000e+00 1.001950000e+00 9.824170000e-01 3.972330000e-01 2.843220000e-01 3.137240000e-02 4.270470000e-06 1.210880000e-06 5.481350000e-06 2.341230000e-03 0.000000000e+00 3.306500000e+08 1.666400000e+00 1.960300000e+00 1.989800000e+15 6.252660000e-01
1.784869500e-01 9.875100000e+06 4.314900000e+01 5.706400000e+16 2.627181084e-01 5.854370000e+09 2.259550000e+05 2.817180000e+04 8.020620000e+00 1.001930000e+00 9.825400000e-01 3.972340000e-01 2.837530000e-01 3.041540000e-02 4.303440000e-06 1.176870000e-06 5.480310000e-06 2.341010000e-03 0.000000000e+00 3.308600000e+08 1.666400000e+00 1.967500000e+00 1.984500000e+15 6.249080000e-01
1.794978230e-01 9.841500000e+06 4.275700000e+01 5.638200000e+16 2.656945979e-01 5.837840000e+09 2.259480000e+05 2.817180000e+04 8.020380000e+00 1.001920000e+00 9.826700000e-01 3.972360000e-01 2.831040000e-01 2.999700000e-02 4.340820000e-06 1.163890000e-06 5.504710000e-06 2.346210000e-03 0.000000000e+00 3.310800000e+08 1.666400000e+00 1.975100000e+00 1.978800000e+15 6.245330000e-01
1.805065630e-01 9.808100000e+06 4.236800000e+01 5.570800000e+16 2.686710874e-01 5.821520000e+09 2.259330000e+05 2.817180000e+04 8.019840000e+00 1.001900000e+00 9.828000000e-01 3.972380000e-01 2.824550000e-01 2.900610000e-02 4.378130000e-06 1.128480000e-06 5.506610000e-06 2.346620000e-03 0.000000000e+00 3.313000000e+08 1.666400000e+00 1.982700000e+00 1.973100000e+15 6.241690000e-01
1.815132550e-01 9.780400000e+06 4.204700000e+01 5.515200000e+16 2.716475769e-01 5.805430000e+09 2.259090000e+05 2.817180000e+04 8.018990000e+00 1.001880000e+00 9.829090000e-01 3.972400000e-01 2.818050000e-01 2.874520000e-02 4.415180000e-06 1.121280000e-06 5.536460000e-06 2.352970000e-03 0.000000000e+00 3.314800000e+08 1.666400000e+00 1.989100000e+00 1.968300000e+15 6.238690000e-01
1.821832900e-01 9.752800000e+06 4.172700000e+01 5.460000000e+16 2.736319033e-01 5.794830000e+09 2.258890000e+05 2.817180000e+04 8.018260000e+00 1.001860000e+00 9.830180000e-01 3.972410000e-01 2.813700000e-01 2.810800000e-02 4.440090000e-06 1.098310000e-06 5.538390000e-06 2.353380000e-03 0.000000000e+00 3.316600000e+08 1.666400000e+00 1.995400000e+00 1.963600000e+15 6.235750000e-01
1.831867820e-01 9.719800000e+06 4.134800000e+01 5.394600000e+16 2.766083928e-01 5.779090000e+09 2.258510000e+05 2.817180000e+04 8.016930000e+00 1.001850000e+00 9.831500000e-01 3.972430000e-01 2.807130000e-01 2.729630000e-02 4.477350000e-06 1.069280000e-06 5.546630000e-06 2.355130000e-03 0.000000000e+00 3.318600000e+08 1.666400000e+00 2.003000000e+00 1.957900000e+15 6.232330000e-01
1.841884670e-01 9.687000000e+06 4.097100000e+01 5.329800000e+16 2.795848823e-01 5.763560000e+09 2.258050000e+05 2.817180000e+04 8.015300000e+00 1.001830000e+00 9.832810000e-01 3.972450000e-01 2.800560000e-01 2.687500000e-02 4.514460000e-06 1.055370000e-06 5.569820000e-06 2.360050000e-03 0.000000000e+00 3.320700000e+08 1.666400000e+00 2.010600000e+00 1.952200000e+15 6.228960000e-01
1.851884360e-01 9.659800000e+06 4.066000000e+01 5.276500000e+16 2.825613718e-01 5.748240000e+09 2.257510000e+05 2.817180000e+04 8.013380000e+00 1.001810000e+00 9.833900000e-01 3.972460000e-01 2.794010000e-01 2.614650000e-02 4.551290000e-06 1.029210000e-06 5.580490000e-06 2.362310000e-03 0.000000000e+00 3.322300000e+08 1.666400000e+00 2.017000000e+00 1.947500000e+15 6.226220000e-01
1.858541640e-01 9.635300000e+06 4.038100000e+01 5.228800000e+16 2.845456981e-01 5.738140000e+09 2.257110000e+05 2.817180000e+04 8.011950000e+00 1.001800000e+00 9.834890000e-01 3.972480000e-01 2.789610000e-01 2.585400000e-02 4.576030000e-06 1.019290000e-06 5.595320000e-06 2.365440000e-03 0.000000000e+00 3.323800000e+08 1.666400000e+00 2.022700000e+00 1.943200000e+15 6.223790000e-01
1.866853440e-01 9.608300000e+06 4.007400000e+01 5.176300000e+16 2.870261060e-01 5.725630000e+09 2.256560000e+05 2.817180000e+04 8.009980000e+00 1.001780000e+00 9.835990000e-01 3.972490000e-01 2.784070000e-01 2.531590000e-02 4.606900000e-06 9.999880000e-07 5.606890000e-06 2.367890000e-03 0.000000000e+00 3.325500000e+08 1.666400000e+00 2.029100000e+00 1.938500000e+15 6.221140000e-01
1.875154780e-01 9.578700000e+06 3.973800000e+01 5.119100000e+16 2.895065139e-01 5.713270000e+09 2.255950000e+05 2.817180000e+04 8.007830000e+00 1.001770000e+00 9.837200000e-01 3.972510000e-01 2.778540000e-01 2.478660000e-02 4.637780000e-06 9.809100000e-07 5.618690000e-06 2.370380000e-03 0.000000000e+00 3.327200000e+08 1.666400000e+00 2.036100000e+00 1.933300000e+15 6.218280000e-01
1.885103280e-01 9.551900000e+06 3.943600000e+01 5.067700000e+16 2.924830034e-01 5.698600000e+09 2.255150000e+05 2.817180000e+04 8.005000000e+00 1.001750000e+00 9.838310000e-01 3.972520000e-01 2.771900000e-01 2.429120000e-02 4.674470000e-06 9.634130000e-07 5.637880000e-06 2.374420000e-03 0.000000000e+00 3.328800000e+08 1.666400000e+00 2.042500000e+00 1.928600000e+15 6.215730000e-01
1.891727960e-01 9.528900000e+06 3.917700000e+01 5.023800000e+16 2.944673298e-01 5.688930000e+09 2.254580000e+05 2.817180000e+04 8.002960000e+00 1.001740000e+00 9.839250000e-01 3.972530000e-01 2.767480000e-01 2.385330000e-02 4.698980000e-06 9.473900000e-07 5.646370000e-06 2.376210000e-03 0.000000000e+00 3.330100000e+08 1.666400000e+00 2.047900000e+00 1.924500000e+15 6.213580000e-01
1.899323840e-01 9.504500000e+06 3.890300000e+01 4.977300000e+16 2.967447001e-01 5.677930000e+09 2.253880000e+05 2.817180000e+04 8.000470000e+00 1.001730000e+00 9.840270000e-01 3.972550000e-01 2.762380000e-01 2.341530000e-02 4.727080000e-06 9.314860000e-07 5.658570000e-06 2.378770000e-03 0.000000000e+00 3.331500000e+08 1.666400000e+00 2.053800000e+00 1.920200000e+15 6.211320000e-01
1.906912430e-01 9.480100000e+06 3.863000000e+01 4.931200000e+16 2.990220704e-01 5.667030000e+09 2.253130000e+05 2.817180000e+04 7.997840000e+00 1.001710000e+00 9.841290000e-01 3.972560000e-01 2.757280000e-01 2.295640000e-02 4.755100000e-06 9.146670000e-07 5.669770000e-06 2.381130000e-03 0.000000000e+00 3.332900000e+08 1.666400000e+00 2.059700000e+00 1.915900000e+15 6.209110000e-01
1.914494070e-01 9.455800000e+06 3.835900000e+01 4.885500000e+16 3.012994407e-01 5.656240000e+09 2.252350000e+05 2.817180000e+04 7.995050000e+00 1.001700000e+00 9.842310000e-01 3.972570000e-01 2.752170000e-01 2.257580000e-02 4.783060000e-06 9.008840000e-07 5.683950000e-06 2.384100000e-03 0.000000000e+00 3.334300000e+08 1.666400000e+00 2.065500000e+00 1.911600000e+15 6.206930000e-01
1.922069100e-01 9.431600000e+06 3.808900000e+01 4.840100000e+16 3.035768110e-01 5.645560000e+09 2.251520000e+05 2.817180000e+04 7.992110000e+00 1.001680000e+00 9.843330000e-01 3.972580000e-01 2.747060000e-01 2.219450000e-02 4.810960000e-06 8.869970000e-07 5.697950000e-06 2.387040000e-03 0.000000000e+00 3.335600000e+08 1.666500000e+00 2.071400000e+00 1.907200000e+15 6.204790000e-01
1.929637860e-01 9.407500000e+06 3.782100000e+01 4.795200000e+16 3.058541813e-01 5.634990000e+09 2.250650000e+05 2.817180000e+04 7.989020000e+00 1.001670000e+00 9.844350000e-01 3.972600000e-01 2.741950000e-01 2.176200000e-02 4.838780000e-06 8.709900000e-07 5.709770000e-06 2.389510000e-03 0.000000000e+00 3.336900000e+08 1.666500000e+00 2.077300000e+00 1.902900000e+15 6.202680000e-01
1.937200700e-01 9.383500000e+06 3.755500000e+01 4.750500000e+16 3.081315516e-01 5.624510000e+09 2.249740000e+05 2.817180000e+04 7.985790000e+00 1.001660000e+00 9.845370000e-01 3.972610000e-01 2.736830000e-01 2.136600000e-02 4.866530000e-06 8.563710000e-07 5.722910000e-06 2.392260000e-03 0.000000000e+00 3.338200000e+08 1.666500000e+00 2.083200000e+00 1.898600000e+15 6.200610000e-01
1.944757930e-01 9.359500000e+06 3.729000000e+01 4.706300000e+16 3.104089219e-01 5.614140000e+09 2.248790000e+05 2.817180000e+04 7.982410000e+00 1.001640000e+00 9.846400000e-01 3.972620000e-01 2.731710000e-01 2.099790000e-02 4.894210000e-06 8.427910000e-07 5.737000000e-06 2.395200000e-03 0.000000000e+00 3.339500000e+08 1.666500000e+00 2.089100000e+00 1.894300000e+15 6.198580000e-01
1.952309900e-01 9.335600000e+06 3.702700000e+01 4.662400000e+16 3.126862922e-01 5.603870000e+09 2.247790000e+05 2.817180000e+04 7.978880000e+00 1.001630000e+00 9.847420000e-01 3.972630000e-01 2.726590000e-01 2.059670000e-02 4.921810000e-06 8.278270000e-07 5.749640000e-06 2.397840000e-03 0.000000000e+00 3.340800000e+08 1.666500000e+00 2.095000000e+00 1.890000000e+15 6.196580000e-01
1.959856920e-01 9.308800000e+06 3.673300000e+01 4.613400000e+16 3.149636625e-01 5.593690000e+09 2.246760000e+05 2.817180000e+04 7.975220000e+00 1.001620000e+00 9.848580000e-01 3.972650000e-01 2.721450000e-01 2.024190000e-02 4.949440000e-06 8.146530000e-07 5.764100000e-06 2.400850000e-03 0.000000000e+00 3.342200000e+08 1.666500000e+00 2.101600000e+00 1.885100000e+15 6.194370000e-01
1.969284280e-01 9.279200000e+06 3.640800000e+01 4.559600000e+16 3.178103754e-01 5.581110000e+09 2.245410000e+05 2.817180000e+04 7.970430000e+00 1.001600000e+00 9.849870000e-01 3.972660000e-01 2.715030000e-01 1.981480000e-02 4.983770000e-06 7.987600000e-07 5.782530000e-06 2.404690000e-03 0.000000000e+00 3.343800000e+08 1.666500000e+00 2.109100000e+00 1.879800000e+15 6.191960000e-01
1.978705060e-01 9.249700000e+06 3.608600000e+01 4.506300000e+16 3.206570883e-01 5.568690000e+09 2.244000000e+05 2.817180000e+04 7.965430000e+00 1.001580000e+00 9.851160000e-01 3.972680000e-01 2.708620000e-01 1.940400000e-02 5.017910000e-06 7.834340000e-07 5.801340000e-06 2.408600000e-03 0.000000000e+00 3.345300000e+08 1.666500000e+00 2.116500000e+00 1.874400000e+15 6.189600000e-01
1.988119880e-01 9.223200000e+06 3.579900000e+01 4.458800000e+16 3.235038012e-01 5.556420000e+09 2.242540000e+05 2.817180000e+04 7.960220000e+00 1.001570000e+00 9.852320000e-01 3.972690000e-01 2.702230000e-01 1.902490000e-02 5.051770000e-06 7.693050000e-07 5.821080000e-06 2.412690000e-03 0.000000000e+00 3.346600000e+08 1.666500000e+00 2.123200000e+00 1.869600000e+15 6.187520000e-01
1.995647830e-01 9.199800000e+06 3.554400000e+01 4.416900000e+16 3.257811715e-01 5.546720000e+09 2.241320000e+05 2.817180000e+04 7.955890000e+00 1.001560000e+00 9.853350000e-01 3.972700000e-01 2.697110000e-01 1.873360000e-02 5.078810000e-06 7.584210000e-07 5.837230000e-06 2.416040000e-03 0.000000000e+00 3.347800000e+08 1.666500000e+00 2.129100000e+00 1.865300000e+15 6.185690000e-01
2.003172680e-01 9.173500000e+06 3.526000000e+01 4.370200000e+16 3.280585418e-01 5.537110000e+09 2.240060000e+05 2.817180000e+04 7.951430000e+00 1.001540000e+00 9.854520000e-01 3.972710000e-01 2.691970000e-01 1.845000000e-02 5.105900000e-06 7.478020000e-07 5.853700000e-06 2.419440000e-03 0.000000000e+00 3.349200000e+08 1.666500000e+00 2.135800000e+00 1.860500000e+15 6.183660000e-01
2.012574910e-01 9.145300000e+06 3.495600000e+01 4.320500000e+16 3.309052547e-01 5.525240000e+09 2.238440000e+05 2.817180000e+04 7.945670000e+00 1.001530000e+00 9.855780000e-01 3.972730000e-01 2.685560000e-01 1.806770000e-02 5.139480000e-06 7.333320000e-07 5.872810000e-06 2.423390000e-03 0.000000000e+00 3.350600000e+08 1.666500000e+00 2.143100000e+00 1.855300000e+15 6.181530000e-01
2.021344610e-01 9.118300000e+06 3.466500000e+01 4.272900000e+16 3.335614890e-01 5.514290000e+09 2.236870000e+05 2.817180000e+04 7.940100000e+00 1.001510000e+00 9.856990000e-01 3.972740000e-01 2.679590000e-01 1.769600000e-02 5.170640000e-06 7.191510000e-07 5.889790000e-06 2.426890000e-03 0.000000000e+00 3.351900000e+08 1.666500000e+00 2.150000000e+00 1.850400000e+15 6.179510000e-01
2.030111530e-01 9.091300000e+06 3.437600000e+01 4.225900000e+16 3.362177233e-01 5.503480000e+09 2.235250000e+05 2.817180000e+04 7.934350000e+00 1.001500000e+00 9.858210000e-01 3.972750000e-01 2.673620000e-01 1.747170000e-02 5.201660000e-06 7.109170000e-07 5.912570000e-06 2.431580000e-03 0.000000000e+00 3.353200000e+08 1.666500000e+00 2.157100000e+00 1.845400000e+15 6.177510000e-01
2.038876170e-01 9.064400000e+06 3.408900000e+01 4.179200000e+16 3.388739576e-01 5.492770000e+09 2.233580000e+05 2.817180000e+04 7.928430000e+00 1.001480000e+00 9.859420000e-01 3.972770000e-01 2.667670000e-01 1.686450000e-02 5.232430000e-06 6.870020000e-07 5.919440000e-06 2.432990000e-03 0.000000000e+00 3.354500000e+08 1.666500000e+00 2.164100000e+00 1.840400000e+15 6.175570000e-01
2.047638960e-01 9.037600000e+06 3.380400000e+01 4.133000000e+16 3.415301919e-01 5.482190000e+09 2.231860000e+05 2.817180000e+04 7.922330000e+00 1.001470000e+00 9.860640000e-01 3.972780000e-01 2.661730000e-01 1.661900000e-02 5.263060000e-06 6.777720000e-07 5.940830000e-06 2.437380000e-03 0.000000000e+00 3.355800000e+08 1.666500000e+00 2.171100000e+00 1.835500000e+15 6.173670000e-01
2.056400390e-01 9.010900000e+06 3.352000000e+01 4.087300000e+16 3.441864262e-01 5.471720000e+09 2.230100000e+05 2.817180000e+04 7.916060000e+00 1.001450000e+00 9.861870000e-01 3.972790000e-01 2.655790000e-01 1.617620000e-02 5.293520000e-06 6.604410000e-07 5.953960000e-06 2.440070000e-03 0.000000000e+00 3.357000000e+08 1.666500000e+00 2.178200000e+00 1.830500000e+15 6.171810000e-01
2.065160920e-01 8.987600000e+06 3.327400000e+01 4.047600000e+16 3.468426605e-01 5.461370000e+09 2.228280000e+05 2.817180000e+04 7.909620000e+00 1.001440000e+00 9.862940000e-01 3.972810000e-01 2.649880000e-01 1.596290000e-02 5.323670000e-06 6.524250000e-07 5.976090000e-06 2.444600000e-03 0.000000000e+00 3.358100000e+08 1.666500000e+00 2.184400000e+00 1.826200000e+15 6.170200000e-01
2.071730980e-01 8.964400000e+06 3.302900000e+01 4.008200000e+16 3.488348362e-01 5.453680000e+09 2.226890000e+05 2.817180000e+04 7.904670000e+00 1.001430000e+00 9.864010000e-01 3.972820000e-01 2.645430000e-01 1.564990000e-02 5.346360000e-06 6.401190000e-07 5.986480000e-06 2.446730000e-03 0.000000000e+00 3.359200000e+08 1.666500000e+00 2.190600000e+00 1.821900000e+15 6.168620000e-01
2.080491050e-01 8.938000000e+06 3.275100000e+01 3.963600000e+16 3.514910705e-01 5.443530000e+09 2.224990000e+05 2.817180000e+04 7.897930000e+00 1.001410000e+00 9.865240000e-01 3.972830000e-01 2.639500000e-01 1.525830000e-02 5.376400000e-06 6.247180000e-07 6.001110000e-06 2.449720000e-03 0.000000000e+00 3.360400000e+08 1.666500000e+00 2.197700000e+00 1.816900000e+15 6.166860000e-01
2.089251480e-01 8.914900000e+06 3.250900000e+01 3.924900000e+16 3.541473048e-01 5.433490000e+09 2.223040000e+05 2.817180000e+04 7.891020000e+00 1.001400000e+00 9.866310000e-01 3.972840000e-01 2.633610000e-01 1.496910000e-02 5.406050000e-06 6.134660000e-07 6.019510000e-06 2.453470000e-03 0.000000000e+00 3.361400000e+08 1.666500000e+00 2.204000000e+00 1.812600000e+15 6.165350000e-01
2.095822290e-01 8.891900000e+06 3.226800000e+01 3.886500000e+16 3.561394806e-01 5.426040000e+09 2.221550000e+05 2.817180000e+04 7.885730000e+00 1.001390000e+00 9.867390000e-01 3.972850000e-01 2.629180000e-01 1.467320000e-02 5.428360000e-06 6.017500000e-07 6.030110000e-06 2.455630000e-03 0.000000000e+00 3.362400000e+08 1.666500000e+00 2.210200000e+00 1.808300000e+15 6.163860000e-01
2.104584450e-01 8.865700000e+06 3.199400000e+01 3.843000000e+16 3.587957149e-01 5.416190000e+09 2.219520000e+05 2.817180000e+04 7.878530000e+00 1.001370000e+00 9.868630000e-01 3.972870000e-01 2.623280000e-01 1.438120000e-02 5.457860000e-06 5.902970000e-07 6.048160000e-06 2.459300000e-03 0.000000000e+00 3.363600000e+08 1.666500000e+00 2.217400000e+00 1.803400000e+15 6.162190000e-01
2.113348210e-01 8.842800000e+06 3.175700000e+01 3.805300000e+16 3.614519492e-01 5.406460000e+09 2.217450000e+05 2.817180000e+04 7.871170000e+00 1.001360000e+00 9.869710000e-01 3.972880000e-01 2.617420000e-01 1.408410000e-02 5.486960000e-06 5.785940000e-07 6.065550000e-06 2.462830000e-03 0.000000000e+00 3.364600000e+08 1.666600000e+00 2.223700000e+00 1.799100000e+15 6.160760000e-01
2.119922330e-01 8.823200000e+06 3.155400000e+01 3.773200000e+16 3.634441249e-01 5.399230000e+09 2.215860000e+05 2.817180000e+04 7.865540000e+00 1.001350000e+00 9.870640000e-01 3.972890000e-01 2.613020000e-01 1.382200000e-02 5.508720000e-06 5.681690000e-07 6.076890000e-06 2.465130000e-03 0.000000000e+00 3.365400000e+08 1.666600000e+00 2.229100000e+00 1.795400000e+15 6.159550000e-01
2.126497780e-01 8.800500000e+06 3.131800000e+01 3.736000000e+16 3.654363006e-01 5.392060000e+09 2.214250000e+05 2.817180000e+04 7.859820000e+00 1.001340000e+00 9.871720000e-01 3.972900000e-01 2.608620000e-01 1.356420000e-02 5.530560000e-06 5.578970000e-07 6.088450000e-06 2.467480000e-03 0.000000000e+00 3.366400000e+08 1.666600000e+00 2.235500000e+00 1.791100000e+15 6.158160000e-01
2.135267510e-01 8.774500000e+06 3.105100000e+01 3.693900000e+16 3.680925349e-01 5.382590000e+09 2.212060000e+05 2.817180000e+04 7.852050000e+00 1.001320000e+00 9.872960000e-01 3.972910000e-01 2.602750000e-01 1.328110000e-02 5.559370000e-06 5.466640000e-07 6.106030000e-06 2.471040000e-03 0.000000000e+00 3.367500000e+08 1.666600000e+00 2.242700000e+00 1.786200000e+15 6.156610000e-01
2.144040400e-01 8.751900000e+06 3.081800000e+01 3.657400000e+16 3.707487692e-01 5.373230000e+09 2.209830000e+05 2.817180000e+04 7.844130000e+00 1.001310000e+00 9.874050000e-01 3.972920000e-01 2.596920000e-01 1.300220000e-02 5.587770000e-06 5.355680000e-07 6.123340000e-06 2.474540000e-03 0.000000000e+00 3.368400000e+08 1.666600000e+00 2.249100000e+00 1.781900000e+15 6.155280000e-01
2.150622380e-01 8.731300000e+06 3.060700000e+01 3.624200000e+16 3.727409449e-01 5.366270000e+09 2.208130000e+05 2.817180000e+04 7.838080000e+00 1.001300000e+00 9.875040000e-01 3.972930000e-01 2.592550000e-01 1.275040000e-02 5.609060000e-06 5.254620000e-07 6.134520000e-06 2.476800000e-03 0.000000000e+00 3.369300000e+08 1.666600000e+00 2.255000000e+00 1.778000000e+15 6.154080000e-01
2.158076690e-01 8.708800000e+06 3.037700000e+01 3.588300000e+16 3.749963370e-01 5.358470000e+09 2.206170000e+05 2.817180000e+04 7.831120000e+00 1.001290000e+00 9.876130000e-01 3.972940000e-01 2.587590000e-01 1.250980000e-02 5.633050000e-06 5.158300000e-07 6.148880000e-06 2.479690000e-03 0.000000000e+00 3.370200000e+08 1.666600000e+00 2.261400000e+00 1.773700000e+15 6.152800000e-01
2.165969380e-01 8.685800000e+06 3.014200000e+01 3.551600000e+16 3.773833371e-01 5.350300000e+09 2.204060000e+05 2.817180000e+04 7.823640000e+00 1.001280000e+00 9.877260000e-01 3.972950000e-01 2.582360000e-01 1.226340000e-02 5.658220000e-06 5.059510000e-07 6.164180000e-06 2.482780000e-03 0.000000000e+00 3.371100000e+08 1.666600000e+00 2.268000000e+00 1.769300000e+15 6.151500000e-01
2.173865870e-01 8.662800000e+06 2.990800000e+01 3.515300000e+16 3.797703373e-01 5.342200000e+09 2.201920000e+05 2.817180000e+04 7.816030000e+00 1.001260000e+00 9.878380000e-01 3.972960000e-01 2.577150000e-01 1.202450000e-02 5.683210000e-06 4.963530000e-07 6.179560000e-06 2.485870000e-03 0.000000000e+00 3.372100000e+08 1.666600000e+00 2.274700000e+00 1.765000000e+15 6.150230000e-01
2.181766470e-01 8.639800000e+06 2.967500000e+01 3.479300000e+16 3.821573374e-01 5.334200000e+09 2.199740000e+05 2.817180000e+04 7.808300000e+00 1.001250000e+00 9.879510000e-01 3.972980000e-01 2.571950000e-01 1.178900000e-02 5.708010000e-06 4.868720000e-07 6.194880000e-06 2.488950000e-03 0.000000000e+00 3.373000000e+08 1.666600000e+00 2.281400000e+00 1.760600000e+15 6.148970000e-01
2.189671500e-01 8.617000000e+06 2.944400000e+01 3.443500000e+16 3.845443376e-01 5.326270000e+09 2.197520000e+05 2.817180000e+04 7.800440000e+00 1.001240000e+00 9.880630000e-01 3.972990000e-01 2.566750000e-01 1.156090000e-02 5.732620000e-06 4.776720000e-07 6.210290000e-06 2.492050000e-03 0.000000000e+00 3.373900000e+08 1.666600000e+00 2.288100000e+00 1.756200000e+15 6.147740000e-01
2.197581290e-01 8.594100000e+06 2.921400000e+01 3.408100000e+16 3.869313377e-01 5.318420000e+09 2.195280000e+05 2.817180000e+04 7.792460000e+00 1.001230000e+00 9.881760000e-01 3.973000000e-01 2.561570000e-01 1.133440000e-02 5.757040000e-06 4.685170000e-07 6.225560000e-06 2.495110000e-03 0.000000000e+00 3.374800000e+08 1.666600000e+00 2.294800000e+00 1.751800000e+15 6.146530000e-01
2.205496150e-01 8.575200000e+06 2.902400000e+01 3.378700000e+16 3.893183379e-01 5.310660000e+09 2.192990000e+05 2.817180000e+04 7.784360000e+00 1.001210000e+00 9.882700000e-01 3.973010000e-01 2.556420000e-01 1.113300000e-02 5.781080000e-06 4.603780000e-07 6.241460000e-06 2.498290000e-03 0.000000000e+00 3.375500000e+08 1.666600000e+00 2.300400000e+00 1.748200000e+15 6.145540000e-01
2.210775670e-01 8.558100000e+06 2.885300000e+01 3.352500000e+16 3.909096713e-01 5.305530000e+09 2.191450000e+05 2.817180000e+04 7.778890000e+00 1.001210000e+00 9.883550000e-01 3.973020000e-01 2.552990000e-01 1.095010000e-02 5.797150000e-06 4.529310000e-07 6.250080000e-06 2.500020000e-03 0.000000000e+00 3.376100000e+08 1.666600000e+00 2.305500000e+00 1.744900000e+15 6.144660000e-01
